ATRIPS,ACANT,MONTE,ARMER,EDAD,SEXO,ESTUD,KOSTU 
0,1,0,0,40,1,5,101.6400000 
0,0,1,1,20,1,2,101.6400000 
0,1,1,1,45,0,5,101.6400000 
0,0,1,0,19,1,3,108.8000000 
0,0,1,0,46,0,3,108.8000000 
0,0,0,0,75,1,3,108.8000000 
0,0,1,0,24,0,3,108.8000000 
0,0,1,0,71,0,1,108.8000000 
0,0,0,0,33,1,3,108.8000000 
0,0,0,0,63,0,1,108.8000000 
0,0,1,1,54,1,1,108.8000000 
0,0,0,0,47,0,4,93.0800000 
0,0,0,0,23,1,2,93.0800000 
0,0,1,1,59,1,2,93.0800000 
0,0,0,1,56,0,1,93.0800000 
0,0,1,0,55,0,2,93.0800000 
0,0,1,1,32,1,2,93.0800000 
0,0,0,0,67,0,3,93.0800000 
0,1,1,0,44,1,5,101.6400000 
0,0,0,0,74,0,1,101.6400000 
0,0,0,1,70,1,1,101.6400000 
0,0,0,0,21,0,2,101.6400000 
0,0,1,0,28,1,5,101.6400000 
0,0,0,0,60,1,2,85.9200000 
0,0,1,0,25,0,2,85.9200000 
0,1,1,0,29,1,4,85.9200000 
0,1,0,0,36,1,2,89.9200000 
0,0,0,1,37,0,3,89.9200000 
0,0,1,1,59,0,1,68.3600000 
0,0,1,0,57,1,4,68.3600000 
0,1,0,0,40,0,2,68.3600000 
0,0,0,0,28,1,2,68.3600000 
0,0,1,0,29,0,2,119.5200000 
0,0,0,0,64,1,3,119.5200000 
0,0,0,0,66,0,1,101.6400000 
0,0,0,0,24,0,3,102.6800000 
0,0,0,0,21,0,3,102.6800000 
0,0,0,1,60,0,1,106.9600000 
0,0,1,1,63,1,2,106.9600000 
0,0,1,1,31,0,3,105.6400000 
0,0,1,1,43,0,3,105.6400000 
0,0,1,0,30,0,3,105.6400000 
0,0,0,0,42,1,4,105.6400000 
0,0,0,1,55,0,2,105.6400000 
0,0,0,1,75,0,1,105.6400000 
0,0,1,1,65,0,2,105.6400000 
0,0,0,0,24,0,4,111.4000000 
0,0,0,0,31,1,5,111.4000000 
0,0,0,0,26,0,5,111.4000000 
0,1,1,1,54,1,3,111.4000000 
0,1,0,0,56,0,4,111.4000000 
0,0,1,0,26,1,3,111.4000000 
0,0,0,0,34,1,3,112.8000000 
0,0,0,0,47,0,3,112.8000000 
0,0,0,0,43,1,3,95.0400000 
0,0,1,0,38,0,5,95.0400000 
0,0,0,0,38,0,4,95.0400000 
0,1,1,0,45,1,5,95.0400000 
0,0,1,1,61,0,2,95.0400000 
0,0,1,0,40,0,3,95.0400000 
0,0,1,0,26,0,2,95.0400000 
0,0,1,0,31,0,5,114.6000000 
0,0,1,0,33,1,4,114.6000000 
0,0,0,0,18,0,2,114.6000000 
0,0,1,0,38,1,5,114.6000000 
0,0,1,0,30,1,2,114.6000000 
0,0,1,0,27,0,3,114.6000000 
0,0,1,0,29,0,5,98.3200000 
0,0,1,0,45,0,3,98.3200000 
0,0,0,0,21,0,3,111.0400000 
0,0,0,0,22,1,3,111.4000000 
0,0,0,0,31,1,3,101.6400000 
0,0,0,1,67,0,2,101.6400000 
0,0,0,0,32,0,5,101.6400000 
0,0,0,0,32,1,3,75.2400000 
0,0,0,0,32,1,2,75.2400000 
0,0,0,0,32,1,3,75.2400000 
0,0,1,1,69,0,1,75.2400000 
0,0,0,0,21,1,2,75.2400000 
0,0,0,0,31,0,4,75.2400000 
0,0,1,0,32,0,5,111.4000000 
0,1,0,0,27,0,3,112.8000000 
0,0,1,1,23,1,2,112.8000000 
0,0,0,0,28,0,3,93.0800000 
0,0,1,0,63,1,1,13.3600000 
0,0,0,0,77,0,1,13.3600000 
0,0,0,0,19,0,2,13.3600000 
0,0,0,0,31,0,3,40.1200000 
0,0,1,0,37,1,5,40.1200000 
0,0,1,0,44,1,2,28.6400000 
0,1,1,0,45,1,3,16.7200000 
0,1,1,0,27,0,4,16.7200000 
0,1,1,0,77,1,1,4.6400000 
0,1,1,1,56,0,1,4.6400000 
0,1,1,1,80,0,2,13.3600000 
0,1,1,0,54,0,3,13.3600000 
0,0,1,0,27,0,5,13.3600000 
0,1,1,0,24,0,2,26.1600000 
0,0,0,0,58,1,1,26.1600000 
0,1,0,0,76,0,1,26.1600000 
0,1,0,0,66,0,2,13.3600000 
0,1,1,0,42,1,2,13.3600000 
0,1,0,0,63,1,1,3.6400000 
0,0,0,0,59,0,1,75.8800000 
0,0,0,0,47,1,5,75.8800000 
0,0,0,0,21,0,2,75.8800000 
0,0,0,0,34,0,2,75.8800000 
0,0,1,0,40,1,3,60.9200000 
0,0,1,0,33,1,3,60.9200000 
0,0,0,0,22,0,5,60.9200000 
0,0,1,0,61,0,4,60.9200000 
0,1,1,1,67,1,1,41.7600000 
0,0,0,0,36,0,3,41.7600000 
0,0,1,0,59,0,1,41.7600000 
0,1,1,0,78,0,1,41.7600000 
0,0,1,1,36,1,2,41.7600000 
0,1,1,1,67,0,1,28.5200000 
0,0,1,0,60,1,3,28.5200000 
0,1,0,0,86,1,1,28.5200000 
0,0,0,0,39,0,5,26.1600000 
0,0,0,0,21,0,3,26.1600000 
0,1,1,1,81,0,1,13.3600000 
0,0,1,0,45,0,1,83.2000000 
0,1,0,0,44,0,2,83.2000000 
0,0,0,0,18,0,2,83.2000000 
0,1,1,1,38,0,2,83.2000000 
0,0,0,1,21,0,4,83.2000000 
0,0,1,0,60,1,2,83.2000000 
0,0,0,0,26,0,2,83.2000000 
0,0,1,0,38,1,2,83.2000000 
0,0,0,0,32,1,1,83.2000000 
0,0,0,0,26,0,4,83.2000000 
0,0,1,1,34,1,2,83.2000000 
0,0,0,0,29,0,4,83.2000000 
0,1,0,0,36,0,2,83.2000000 
0,0,0,0,43,0,2,83.2000000 
0,0,1,1,53,1,1,83.2000000 
0,0,1,0,55,1,1,83.2000000 
0,0,1,0,81,1,1,83.2000000 
0,0,1,0,29,1,3,83.2000000 
0,0,0,0,45,1,2,83.2000000 
0,0,1,1,19,1,2,83.2000000 
0,1,1,0,45,0,5,83.2000000 
0,1,0,0,76,0,1,108.4000000 
0,1,1,0,43,1,3,108.4000000 
0,0,1,1,28,0,2,120.2000000 
0,0,1,0,46,1,2,128.7200000 
0,0,1,0,48,1,2,128.7200000 
0,0,1,1,63,0,1,83.2000000 
0,0,0,0,37,0,3,83.2000000 
0,0,1,0,23,0,2,109.8000000 
0,0,1,1,63,0,3,109.8000000 
0,0,1,0,21,1,3,109.8000000 
0,0,1,0,21,0,3,109.8000000 
0,0,0,0,52,1,3,109.8000000 
0,0,1,1,46,0,2,72.4000000 
0,1,0,0,47,0,5,72.4000000 
0,0,1,0,106,0,1,72.4000000 
0,0,0,0,72,1,4,72.4000000 
0,0,1,0,34,0,5,72.4000000 
0,1,0,0,24,1,5,72.4000000 
0,0,1,0,75,0,1,72.4000000 
0,0,1,0,32,1,3,72.4000000 
0,1,1,0,50,0,2,72.4000000 
0,0,0,0,59,1,5,72.4000000 
0,0,1,0,50,1,3,72.4000000 
0,1,1,1,59,0,2,98.8800000 
0,0,1,0,26,1,3,72.4000000 
0,1,1,0,78,1,1,72.4000000 
0,0,0,0,41,1,2,72.4000000 
0,0,0,0,61,1,1,72.4000000 
0,0,0,0,57,1,1,72.4000000 
0,1,1,0,49,0,5,72.4000000 
0,1,1,0,65,0,1,72.4000000 
0,0,1,0,57,0,1,72.4000000 
0,1,0,0,51,1,3,72.4000000 
0,0,0,0,48,0,2,106.5600000 
0,0,1,0,31,1,4,106.5600000 
0,0,1,0,36,1,3,106.5600000 
0,0,1,1,74,1,1,106.5600000 
0,0,1,1,73,0,1,106.5600000 
0,0,0,0,41,1,2,72.4000000 
0,0,0,0,46,0,5,72.4000000 
0,1,0,1,49,0,5,72.4000000 
0,0,1,1,62,1,2,72.4000000 
0,0,1,0,19,1,3,72.4000000 
0,0,1,0,77,1,1,72.4000000 
0,0,1,0,62,0,2,161.2400000 
0,0,1,1,46,0,1,161.2400000 
0,0,1,0,41,0,3,161.2400000 
0,0,1,0,42,1,1,161.2400000 
0,0,1,0,38,1,2,161.2400000 
0,0,0,0,38,1,3,161.2400000 
0,1,1,0,54,0,4,161.2400000 
1,0,1,1,35,0,2,93.0800000 
1,0,1,0,28,1,1,68.3600000 
1,1,1,1,65,1,3,68.3600000 
1,1,1,0,19,1,3,68.3600000 
1,1,0,0,23,0,3,119.5200000 
1,1,0,1,23,0,3,119.5200000 
1,0,0,0,22,1,3,119.5200000 
1,1,1,1,39,1,5,105.6400000 
1,1,1,0,54,1,5,112.8000000 
1,0,1,1,68,1,3,98.3200000 
1,0,1,1,39,0,5,13.3600000 
1,0,1,1,48,1,1,28.6400000 
1,0,1,1,25,0,2,28.6400000 
1,0,1,1,28,1,5,13.3600000 
1,1,0,0,62,0,1,75.8800000 
1,1,1,0,28,0,5,41.7600000 
1,1,0,0,40,0,3,13.3600000 
1,0,0,1,25,1,2,83.2000000 
1,0,0,0,39,0,3,109.8000000 
1,1,0,0,75,0,3,72.4000000 
1,0,1,0,58,0,2,72.4000000 
1,1,1,0,72,1,2,72.4000000 
1,0,1,1,44,0,3,98.8800000 
1,1,1,0,28,0,5,72.4000000 
1,1,0,0,30,1,5,72.4000000 
1,1,1,0,40,0,3,106.5600000 
2,1,1,0,39,0,5,101.6400000 
2,1,0,1,40,1,1,108.8000000 
2,1,1,1,42,1,4,101.6400000 
2,1,1,1,42,0,2,85.9200000 
2,1,1,1,31,1,3,85.9200000 
2,0,0,1,60,0,2,68.3600000 
2,1,1,1,28,1,4,119.5200000 
2,0,1,0,32,0,1,101.6400000 
2,1,1,0,31,1,4,102.6800000 
2,1,1,1,51,0,3,106.9600000 
2,0,1,1,72,1,5,114.6000000 
2,1,1,1,49,0,2,13.3600000 
2,1,1,0,54,1,3,40.1200000 
2,1,1,0,52,1,2,26.1600000 
2,1,1,0,41,1,2,13.3600000 
2,1,0,1,63,0,1,60.9200000 
2,1,0,1,30,0,2,28.5200000 
2,0,1,1,52,1,3,28.5200000 
2,1,1,0,39,0,3,26.1600000 
2,0,1,0,60,1,1,83.2000000 
2,1,1,1,55,0,2,109.8000000 
2,0,1,0,50,1,2,109.8000000 
2,1,1,0,86,1,3,72.4000000 
2,0,0,0,33,1,1,13.3600000 
2,0,1,0,30,1,2,72.4000000 
2,1,1,0,59,1,2,72.4000000 
3,1,1,1,44,0,3,101.6400000 
3,1,0,0,39,1,3,101.6400000 
3,1,1,1,47,0,4,111.4000000 
3,0,0,0,75,1,1,16.7200000 
3,1,0,0,49,0,3,16.7200000 
3,1,1,0,58,1,2,26.1600000 
3,1,1,1,73,1,1,26.1600000 
3,1,1,0,33,0,3,20.4000000 
3,1,0,0,43,1,2,13.3600000 
3,1,1,0,28,1,3,13.3600000 
3,0,1,0,68,1,2,83.2000000 
3,1,1,1,32,1,3,109.8000000 
3,1,1,0,37,1,4,72.4000000 
3,1,1,0,51,0,4,72.4000000 
3,1,1,1,31,0,5,72.4000000 
4,0,0,0,34,1,2,26.1600000 
4,1,1,1,57,0,3,20.4000000 
4,1,1,0,33,1,1,72.4000000 
5,1,1,1,42,0,3,40.1200000 
5,1,1,1,57,0,1,28.6400000 
5,1,1,0,38,0,2,13.3600000 
5,1,1,0,21,0,4,13.3600000 
7,1,1,1,45,0,2,26.1600000 
7,1,1,0,39,1,3,72.4000000 
8,0,0,0,29,1,2,13.3600000 
10,1,1,1,59,0,2,13.3600000 
10,1,0,1,39,0,2,4.6400000 
10,0,1,0,41,1,3,4.6400000 
10,1,1,0,63,0,2,3.6400000 
10,1,1,1,23,0,2,3.6400000 
15,0,0,0,82,1,1,26.1600000 
15,1,0,0,48,0,3,20.4000000 
15,1,1,1,76,1,5,26.1600000 
